Polling Booth Name,Polling Booth Address,HearingAid,Braille,Interpreter Services,latitude,longitude
"Nawab Tank Up primary and Secondary Muni. School,","Nawab Tank Up primary and Secondary Tamil Muni. School, Hall  A , Saifee Blg. No. 1, op. Mazgon post office, mazgon, Mumbai- 400010",No,No,No,18.9595901,72.8459159
"E Ward B.M.C.Office,","Open space of Ground floor, Mumbai -8",Yes,Yes,No,19.0759837,72.8776559
Saint isabel High School,"Gr,floor, R.No.1, Dr.Mhaskerance Road,Mumbai-10",Yes,Yes,Yes,19.0759837,72.8776559
"Saint Isabel High School ,","Gr,floor, R.No.3, Dr.Mhaskerance Road,Mumbai-10",Yes,Yes,Yes,19.0759837,72.8776559
"Saint Isabel High School,","Ground Floor, Room No.4 Dr.Mhaskerance Road,Mumbai-10",Yes,No,No,19.0759837,72.8776559
Maharashtra Kamgar Kalyan Kendra-,"Maharashtra Kamgar Kalyan Kendra-Hall A, Tarabaug Compound, Seth Motishah Lane, Mumbai-10",No,Yes,Yes,18.9723449,72.8364825
"Mohammed Umer Rajab Road,","Mohammed Umer Rajab Road, Municipal  School,Gr.floor, R.No.12, Mohammed Umer Rajab Road, madanpura, Mumbai  8",No,No,Yes,18.9703745,72.8271764
Mohammed Umer Rajab Road,"Mohammed Umer Rajab Road, Municipal  School,Gr.floor, R.No.13, Mohammed Umer Rajab Road, Madanpura, Mumbai  8",Yes,No,Yes,18.9703745,72.8271764
Seth Motishah Lane U Primary Municipal Marathi School Ground,"Mandap  C , Bramhanwadi, Mazgaon, Mumbai 10",No,Yes,No,18.9595901,72.8459159
"Anjuman Khairul Islam Urdu High School,","Ground floor Hall A, 2nd Ghelabai Street, Mumbai 08",No,No,No,18.971785,72.8264524
"Community Hall A , M building , Reserve Bank Staff Quarters","Community Hall A , M building , Reserve Bank Staff Quarters, Maratha Mandir Road, Mumbai 8",No,No,No,19.0759837,72.8776559
"Community Hall B , M building , Reserve Bank Staff Quarters","Community Hall B , M building , Reserve Bank Staff Quarters, Maratha Mandir Road, Mumbai 8",No,Yes,No,19.0759837,72.8776559
"Mohammed Umer Rajab Road, Mun. Madhyamik School,8","Gr.floor, R.No.11, Mohammed Umer Rajab Road,Madanpura,Mumbai",No,No,No,18.9484199,72.8344749
"Mohammed Umer Rajab Road, Mun. Madhyamik School","Ground Floor - Hall -  C , Mohammed Umer Rajab Road,Madanpura,Mumbai 8",Yes,No,Yes,18.9484199,72.8344749
"Sushanti Church, K.G,.  Primary School,","Ground Floor, Mandap -  F  Ganesh Hari Parundekar Marg, Mumbai 11",No,Yes,Yes,18.9765448,72.8288521
"Saint Agnes High School, Convent of Jesus   Mery","Gr.Floor, R.No.1,Mirza Galib Marg,Mumbai 8",No,No,Yes,19.0377699,72.949955
"B.P.T. E.Shed, I Mesant Shed","Near Reay Road Station, B.P.T. E.Shed, I Mesant Shed, Signal Hill View Mumbai.",Yes,Yes,No,19.0759837,72.8776559
"B.P.T. E.Shed, J Mesant Shed","Near Reay Road Station, B.P.T. E.Shed, J Mesant Shed, Signal Hill View Mumbai.",No,No,Yes,19.0759837,72.8776559
"B.P.T. E.Shed, K Mesant Shed","Near Reay Road Station, B.P.T. E.Shed, K Mesant Shed, Signal Hill View Mumbai.",Yes,No,Yes,19.0759837,72.8776559
"B.P.T. E.Shed, L Mesant Shed","Near Reay Road Station, B.P.T. E.Shed, L Mesant Shed, Signal Hill View Mumbai.",Yes,No,Yes,19.0759837,72.8776559
"B.P.T. E.Shed, H Mesant Shed","Near Reay Road Station, B.P.T. E.Shed, H Mesant Shed, Signal Hill View Mumbai.",No,No,No,19.0759837,72.8776559
"Saint Mary High School,(SSC)","Gr.floor, R.No.23, Sardar Balwantsingh Dhodi Marg, Mazgaon,Mumbai 10",No,Yes,Yes,18.9576699,72.8333179
"Saint Mary High School, (SSC)","Gr.floor, R.No.3, Sardar Balwantsingh Dhodi Marg, Mazgaon,Mumbai 10",Yes,Yes,No,18.9573568,72.842336
"Bruhani College of Commerce   Arts,and management studies,","Jabir Mehta Commerce Bldg.,Gr. Floor , Hall  A  Nesbit Road, Mumbai 10",No,Yes,No,18.9688589,72.8372181
"B.I.T. chawl No. 2 and 3,","Ground between B.I.T. chawl No. 2 and 3, Mandap  A , Sheth Motisha lane, love lane, Mumbai - 10",No,No,Yes,18.967838,72.8369843
"Saint Mary High School, (ICSE)","Gr.floor, R.No.1, Sardar Balwant singh Dhodi Marg,Mazgaon, Mumbai 10",No,No,No,18.9595901,72.8459159
"Saint Mary High School,(ICSE)","Gr.floor, R.No.4, Sardar Balwant singh Dhodi Marg,Mazgaon, Mumbai 10",Yes,Yes,No,18.9595901,72.8459159
"Anjuman Ismal Giris HighSchool,","Anjuman Islam Giris HighSchool, R.No.4, Jahangir Bomen Behram Marg,Mumbai 8",No,No,Yes,18.9686239,72.8220468
"Tadwadi Municipal School Samuh,","Gr.Floor Hall A, Tadwadi Mazgaon, Mumbai 10",Yes,Yes,Yes,18.9674417,72.83788539999999
Saint Peter School,"Gr.Floor,Nursery.R.No.1,Shivdas Chapsi Road, Mazgaon,Mumbai-10.",Yes,No,Yes,18.9595901,72.8459159
"Hume High School and Jr.Collage,","Gr.floor, R. no.14,Sir J.J.Marg,Mumbai 8",Yes,Yes,Yes,18.9728052,72.8317964
"Sir Elly Kadoori School   Jr.Collage ,","Gr.floor, R.No.1,Shivdas Chapsi Marg, Mazgaon,Mumbai-10",Yes,Yes,Yes,18.9698173,72.8409563
"Sir Elly Kadoori School   Jr.Collage,","Gr.floor, R.No.2,Shivdas Chapsi Marg,Mazgaon,Mumbai-10",No,Yes,Yes,18.964262,72.838005
Eknath (Bhai) Maruti Bandal Manoranjan Maidan,"Mandap  A  Chimanji Rajoji Marg, B S Satam Chowk Dockyard Mumbai -10",Yes,No,Yes,19.0759837,72.8776559
"Shatabdi Sohala Municipal School,","Shatabdi Sohala Municipal School, Ground floor, Nursary Room, J.J.Hospital Compound Near Gate No 14, J J Road, Mumbai 08",No,Yes,Yes,18.9728052,72.8317964
Nathuram Poddar Baug,"Nathuram Poddar Baug, Graund flooer Hall A Dr. Babasaheb Jaykar Marg, Mumbai 400002",Yes,Yes,No,18.952036,72.8231644
"Gorakshak Shree Krishna CHS, Darshan Heights,","Gorakshak Shree Krishna CHS, Darshan Heights, B wing, Zawabawadi, Thakurdwar, Ground Floor, Patrashed A Zabwawadi Thakurdwar, Mumbai - 400 002",Yes,Yes,Yes,18.9517854,72.8247299
Sitaram Poddar Balika Vidyalaya,"Sitaram Poddar Balika Vidyalaya, Gound Floor, Room No. 4 Sitaram Poddar Marg Mumbai 400002",No,No,Yes,18.9512312,72.8257443
"Barrato High school,","Barrato High school, Ground Floor, Room No. 5 Dr. Vegas Street,Mumbai - 400 002",Yes,Yes,Yes,18.9485605,72.8258795
Maha Pragya Public School Dadi Sheth Agyari Lane Kalbadevi,"Maha Pragya Public School Dadi Sheth Agyari Lane Kalbadevi Mumbai Ground Floor, Hall - A-4 Dadi Sheth Agyari Lane Mumbai 400002",No,No,No,18.9503992,72.8272868
"Gorakshak Shree Krishna CHS, Darshan Heights, B wing, Zawabawad","Gorakshak Shree Krishna CHS, Darshan Heights, B wing, Zawabawadi, Thakurdwar, Ground Floor, Patrashed C Zabwawadi Thakurdwar, Mumbai - 400 002",Yes,Yes,No,18.9517854,72.8247299
St. Sebestian High School,St. Sebestian High School Ground Floor K. G.B St. Francis Xavier Road Mumbai 400002,Yes,Yes,No,18.9491092,72.8229523
Prabhu Seminary High School,Prabhu SeminariHigh School Ground Floor Hall A 1 Bhai Jeevanji Lane Mumbai 400002,No,Yes,No,18.9507441,72.8231182
"Student Literary Scientific Society School,","Student Literary Scientific Society School, Ground Floor, Room No. A Navroji Shet Marg,Mumbai-400002",Yes,No,No,19.0759837,72.8776559
"St. Sebestian Goan High School,",St. Sebestian Goan High School St. Francis Xavier Road Mumbai 400002 Ground Floor Nursery Room,Yes,Yes,Yes,18.9491092,72.8229523
"Dakhibai Singhaniya Dharmashala Trust, Singhaniya Wadi (Ganesh Baug)","Dakhibai Singhaniya Dharmashala Trust, Singhaniya Wadi (Ganesh Baug) Ground Floor, Hall A-1 Dadi Sheth Agyari Lane Mumbai-400002",Yes,No,Yes,18.9573003,72.8081258
"Marwadi Commercial Highschool, Gajdhar Street","Marwadi Commercial Highschool, Gajdhar Street, Ground Floor, Room No.1 Dadi Sheth Agyari Lane Mumbai-400002",Yes,No,No,18.9510396,72.8290392
Marwadi Commercial Highschool,"Marwadi Commercial Highschool, Gajdhar Street, Dadi Sheth Agyari Lane, Mumbai 400002 Ground Floor, Computer Room",No,No,Yes,18.9486076,72.824305
"Sheth Kahandas Narandas Chrities Trust,  Zaver Baug","Sheth Kahandas Narandas Chrities Trust, Zaver Baug, Ground Floor, Hall A Kalbadevi Road, Mumbai - 400 002",Yes,No,Yes,18.9487491,72.8288979
"Baig Mohammad Park,","Baig Mohammad Park, Narayan Dhuru Street, Mumbai - 400 003 Mandap-1",No,Yes,No,18.953903,72.83285409999999
"Old Halai Bhatia Mahajan Wadi,","Old Halai Bhatia Mahajan Wadi, Ground Floor, Hall A-1 Kalbadevi Road, Mumbai - 400 002",No,No,Yes,18.9448222,72.8291497
Chandanwadi Municipal School,"Chandanwadi Municipal School, Ground Floor, Room No. 1 chandanwadi, Mumbai - 400 002",No,Yes,No,18.94662,72.826554
Shree Jain Mahila Samaj Hall,"Shree Jain Mahila Samaj Hall, H Cross Road, Mumbai-400002, Ground Floor, Hall-A",Yes,No,Yes,18.9434568,72.82381939999999
"Our Lady of Dolours High School,","Our Lady of Dolours High School, Ground Floor, Std. 10th Dr. Cavasjee Hormasji Street, Mumbai - 400 002",Yes,No,No,18.943687,72.8256334
Bai Manekbai Nowrosji Gamudia Parsi Girls School,"Bai Manekbai Nowrosji Gamudia Parsi Girls School, Indian Music Class Room, Ground Floor Shamaldas Gandhi Marg, Mumbai - 400 002",No,No,No,18.9460836,72.8287127
"Lord Harris Municipal School, Uppar Primary School,","Lord Harris Municipal School, Uppar Primary School, L.T. Marg (Dhobi Talao) Mumbai-400002, Ground Floor Room No. 3 R. S. Sapre Marg, Mumbai - 400 002",No,Yes,No,18.9455236,72.83058249999999
St. Xavier s High School,"St. Xavier s High School, 289, L.T. Marg. Fort, Mumbai-400001, Ground Floor K.G.-A",No,Yes,Yes,18.9442049,72.8304121
"Old Halai Bhatia Mahajanwadi, Kalbadevi Road","Old Halai Bhatia Mahajanwadi, Kalbadevi Road, Mumbai - 400002, Ground Floor, Hall A-7",No,Yes,No,18.9482344,72.8285635
Mahatma Phule Mandai,"Mahatma Phule Mandai, Near Crofford Market, Lokmanya Tilak Marg, Mumbai-400001, Partition",No,Yes,Yes,18.9476146,72.8342861
Beaig Mohammad High school,"Mandap -1, Open space Gr flr.  Narayan Dhuru Street,  Mumbai - 400 003",Yes,Yes,No,18.9526518,72.8329648
"Cummoo Jafar Suleman Girls School,","Cummoo Jafar Suleman Girls School, Ground Floor Kambekar Street, Mumbai 400 003",Yes,Yes,No,18.9537301,72.83402520000001
"Murli Deora Manoranjan Maidan, Dhobi Street,","Murli Deora Manoranjan Maidan, Dhobi Street, Mandap-1 Dhobi Street, Mumbai 400 003",No,Yes,No,18.9529904,72.8348646
Kacchi Memon Jamat Khana Kambekar Street,"Kacchi Memon Jamat Khana, A-Kambekar Street, Mumbai - 400 003, Ground Floor, Hall B-1",Yes,No,No,18.954591,72.834156
"Mumbai Public School Kambekar Street,","Mumbai Public School, 171/175, Kambekar Street, Ground Floor, Hall-A Kambekar Street, Mumbai - 400 003",No,No,Yes,18.9540377,72.8342705
"Halai Memon Khandwani Jamat, Kambekar Street,","Halai Memon Khandwani Jamat, 143/147, Kambekar Street, Mumbai - 400 003 Hall A",Yes,Yes,No,18.9543558,72.8341389
"Mumbai Public School, 171 175, Kambekar StreetKambekar Street,","Mumbai Public School, 171/175, Kambekar Street, Ground Floor, Hall-D Kambekar Street, Mumbai - 400 003",Yes,No,No,18.9540377,72.8342705
"Kacchi Memon Jamat Khana, Kambekar Street","Kacchi Memon Jamat Khana, Ground Floor, Hall A1 Kambekar Street, Mumbai - 400 003",No,No,No,18.954591,72.834156
Shramik Bhavan. BPT Karnak Bandar Welfare Center,"Shramik Bhavan. BPT Karnak Bandar Welfare Center, Ground Floor, Patra Shed-A,  P Dmello Road, Mumbai - 400 001",Yes,Yes,Yes,19.0759837,72.8776559
"Mumbai Public School, Janabai And Madhavrao Rokade Upper Primary Marathi Municipal School","Mumbai Public School, Janabai And Madhavrao Rokade Upper Primary Marathi Municipal School Swatantrya Senani Chintamani Devji Koli Road, Masjid, Mumbai-400003, Ground Floor, Room No.1 Janjikar Street, Mumbai - 400 003",Yes,No,No,18.949978,72.8337225
"Labour Welfare Centre, Sabusiddique Garden","Labour Welfare Centre, Sabusiddique Garden, Sabusiddhik Road, mumbai - 400 001, Ground Floor, Gym Room",Yes,No,No,19.0148211,72.8225015
Sir J J institute of arts campus,"Sir J J institute of Arts Campus, Dr. Dadabhai Nauroji marg , J J flyver csmt mumbai400001, Ground floor, Lecture room and gallery miniature",Yes,No,No,18.9430816,72.8343837
"Govt. Dental College, St. Georges Hostel Canteen","Govt. Dental College, St. Georges Hostel Canteen, Ground Floor, Hall A P. D mello Road, Mumbai - 400 001",Yes,Yes,Yes,18.9529317,72.8415185
"Govt. Dental College, St. Georges Hostel,","Govt. Dental College, St. Georges Hostel, Canteen, Ground Floor, Hall B P. D mello Road, Mumbai - 400 001",No,No,No,18.9529317,72.8415185
"Lord Harris Municipal School,","Lord Harris Municipal School, Uppar Primary School, L.T. Marg (Dhobi Talao) Mumbai-400002, Ground Floor Room No. 4",Yes,No,No,18.9450118,72.8309692
"Elphistone Technical High School,","Elphistone Technical High School, Ground Floor, Room No. 9",No,Yes,Yes,,
"Shri Mumbai and Mangrol Jain Sabha, Shri S.K.I. Jain Highschool","Shri Mumbai and Mangrol Jain Sabha, Shri S.K.I. Jain Highschool, Maharshi Karve Road, Ground Floor, K.G.",No,Yes,Yes,18.9420962,72.8264176
"Hindi Vidya Bhavan Hall,","Hindi Vidya Bhavan Hall, Ground Floor, Hall A, North Side Jain Patan Mandal Marg, Mumbai - 400 020",No,Yes,Yes,18.9418439,72.8257339
"Bai kabibai English Highschool,","Bai kabibai English Highschool, Ground Floor, Block No. A Bora Bazzar Street, Mumbai - 400 001",No,Yes,No,18.9377483,72.8351863
Sir J.J. Parsi Benevolent Institute,"Sir J.J. Parsi Benevolent Institute, 209 Dadabhai Nouroji Road, Mumbai-400001, Ground Floor, Class 1-B",Yes,Yes,Yes,18.9368682,72.83429679999999
"Navbhavan Building, Ramjibhai Kamani Marg","Navbhavan Building, Ramjibhai Kamani Marg, Mumbai-400001, Left Side 1st Room",No,No,Yes,18.9365456,72.8391317
Kanji Khetshi Charity Hall,"Kanji Khetshi Charity Hall, Ground Floor, Hall A Mint Road, Mumbai 400 001",Yes,Yes,Yes,18.9367645,72.8369524
"Mumbai Public School, Bora Bazar Street","Mumbai Public School, Bora Bazar Street, Municipal Uppar Primary Hindi School, Bora Bazar, Fort, Mumbai -400 001, Ground Floor, Jr. K.G. Room",No,Yes,Yes,18.998342,72.8536416
The Cathedral John Connon Highschool,"The Cathedral John Connon Highschool, Purushottamdas Thakurdas Marg, Mumbai-400001, Ground Floor Hall, near French Room",Yes,Yes,Yes,19.0759837,72.8776559
S.N.D.T. Womens University,"S.N.D.T. Womens University, Nathibai Thakersey Marg, Mumbai-400020, Patkar Hall, Ground Floor, Partition-A",No,No,No,18.9379295,72.8280927
"Town Hall, Central Library,","Town Hall, Central Library, Ground Floor, Hall A Partition Shahid Bhagatsingh Road, Mumbai - 400 023",No,No,Yes,18.9198657,72.8298371
"Sydneham College of Commerce And Economics,","Sydneham College of Commerce And Economics, Ground Floor, Room No. 1 B Road, Churchgate, Mumbai - 400 020",Yes,Yes,Yes,18.9351269,72.8259032
"Jaihind College,","Jaihind College, Ground Floor, Common Room Sitaram DeVra Marg, Churchgate, Mumbai - 400 020",No,No,No,18.9345107,72.82521050000001
"Mumbai Univercity,","Mumbai Univercity, Convocation Hall Karmavir Bhaurao Patil Marg, Mumbai - 400 001",No,No,Yes,18.929725,72.8300375
K. R. Cama Oriental Institute,"K. R. Cama Oriental Institute, Ground Floor, Hall East Side shahid Bhagat Singh road, Mumbai - 400 023",No,No,Yes,18.9271981,72.8337004
K. C. College,"K. C. College, Badminton Hall North Side Dinshaw Vacha Road, Mumbai - 400 020",Yes,Yes,Yes,18.9305578,72.8254524
"St. Annes Highschool,","St. Annes Highschool, Ground Floor, K. G. A Madam Cama Road, Mumbai 400 020",No,Yes,Yes,18.9252647,72.8314386
Young Womens Christian Association,"Young Womens Christian Association, Ground Floor, Hall A Madam Cama Road, Mumbai 400 020",Yes,Yes,No,18.9272741,72.8259805
Sachivalaya Gymkhana,"Sachivalaya Gymkhana, Ground Floor, Badminton Hall A ir Jagganath Bhosale Marg, Mumbai 400 032",Yes,No,No,19.0759837,72.8776559
Convent of Jesus And Merry High school,"Convent of Jesus And Merry High school, Ground Floor, West Side Class Convent Street, Mumbai - 400 005",Yes,Yes,No,18.9103689,72.8197581
The Scholar HighSchool,"The Scholar HighSchool, Room No.5, Ground Floor, West Side Henry Road, Mumbai - 400 039",No,No,No,18.9206091,72.8309676
Sir Cusrow Wadia pavilion,"Sir Cusrow Wadia pavilion , Cusrow Baug S.B.S Road, Mumbai 05 Hall-A",No,Yes,No,18.9198657,72.8298371
"Railway Employees Club,","Railway Employees Club, Badhwar Park, Ground floor Hall, West Side Nathalal Parekh Marg, Colaba, Mumbai - 400 005",No,No,Yes,18.9170965,72.8256993
"Mumbai Public School, Colaba Municipal Uppar Primary School,","Mumbai Public School, Colaba Municipal Uppar Primary School, N.A. Sawant Marg, near Fire Brigade, Colaba, Mumbai-400005, Ground Floor, Room No.4",Yes,Yes,No,18.9103689,72.8197581
"Mumbai Public School, Colaba Municipal Secondary School","Mumbai Public School, Colaba Municipal Secondary School, N.A. Sawant Marg, near Fire Brigade, Colaba, Mumbai-400005, Ground Floor, Room No.1",Yes,No,Yes,18.9149433,72.8265868
"MTNL Telephone Bhavan, Lala Nigam Road","MTNL Telephone Bhavan, Lala Nigam Road, Colaba market, Colaba Mumbai-400005 Ground Floor Hall",Yes,Yes,Yes,18.917111,72.8287769
"Mumbai Public School, Colaba Municipal Uppar Primary School","Mumbai Public School, Colaba Municipal Secondary School, N.A. Sawant Marg, near Fire Brigade, Colaba, Mumbai-400005, Ground Floor, Room No.7",No,Yes,No,18.9149433,72.8265868
G. D. Somani Memorial School,"G. D. Somani Memorial School, Ground Floor, Canteen Hall A-1 G. D. Somani Marg, Mumbai - 400 005",Yes,No,No,18.916335,72.81961199999999
Mumbai Port Authority Recreation Club Near Jackson House,"Mumbai Port Authority Recreation Club Near Jackson House, Dumaniya Road, Colaba, Mumbai-400005, Ground Floor, Conference Hall A-1",Yes,No,Yes,18.934458,72.8382511
Dunnes Institute Admiral House,"Dunnes Institute Admiral House, Ground Floor, Std. 4-A Nathalal Parekh Mnarg, Colaba, Mumbai - 400 005",Yes,Yes,Yes,18.9067031,72.8147123
World Trade Center,"World Trade Center, Ground Floor Mandap-1 Captain Prakash Pethe Marg, Mumbai - 400 005",Yes,No,Yes,18.9194402,72.82462919999999
P.M. Shri Kendriya Vidyalay No. 1,"P.M. Shri Kendriya Vidyalay No. 1, Dr. Homi Bhaba Road, Navy Nagar, Colaba, Mumbai-400005, Ground Floor, Room-1",No,Yes,No,18.9076984,72.8105298
Army Public School,"Army Public School, Nanabhai Moose marg, R. C. Church, Colaba, Mumbai-400005, Ground Floor, Room 1",No,No,Yes,18.8998271,72.81379319999999
Tata Institute of Fundamental Research Housing Complex,"Tata Institute of Fundamental Research Housing Complex, Bhaskara Building Corridor, Dr, Homi Bhabha Road, Navy Nagar, Colaba, Mumbai-400005, Partiton-1",No,Yes,No,18.9081243,72.8075945
St. Joseph Highschool,"St. Joseph Highschool, K. G. Nursery Class, Ground Floor, Room No. 1 Nanabhai Moose Marg, R.C. Church, Colaba, Mumbai 400 005",No,No,No,18.8997076,72.8130108
Chhatrapati Shivaji Vidyalaya,"Secondary Section, P.M.G.P.Colony bldg no-31,Ground Floor Room No.1 Dharavi road North, Mumbai 17",Yes,Yes,No,19.045573,72.85662430000001
Aashadip Prastistan sanchalit,"nursy Hall,Near Ashok Milk Compound Hall, Opp. Sahil hotel, 90 feet road dharavi mumbai-400017",No,No,No,19.0473993,72.8607711
"Mumbai Public School, dharavi, Kala Killa School sankul Municipal Prathmik School","Partition -1, Ground Floor Dharavi Road Mumbai 400017",No,Yes,No,19.0446686,72.8522163
Dharavi BEST Depot,"Partition No.1, Shed Dharavi Road, Dharavi Mumbai 17",Yes,Yes,Yes,19.0454769,72.8540093
Bharatratna Rajiv Grandhi District Sports Complex,"Partition no 4 Ground floor, kabaddi hall dist sport complex mumbai city dharavi sion link road, Dharavi Mumbai - 400017",Yes,No,Yes,19.0409083,72.8589165
Janaseva Shikshan Santhas Royal City English High School,"Room No. 1, Opp. ONGC., Dambar Compound, Dharavi, Mumbai 17",No,Yes,No,19.0486206,72.85762059999999
"Aashadip Prastistan sanchalit, Aakashdip Vyayam Shala,","Damber Compound Mukund Nagar,Opp O.N.G.C. Dharavi Bandra Link road, Mumbai 400017",No,Yes,No,19.0746954,72.8342306
